season,checkpoint,predictor,champion,champion_rank
2019,25%,fan_attn,TOR,7.0
2019,25%,crowd_all,TOR,8.0
2019,25%,media_buzz,TOR,20.0
2019,25%,fan_buzz,TOR,17.0
2019,25%,crowd_buzz,TOR,17.5
2019,25%,stats_baseline,TOR,2.0
2019,50%,media_attn,TOR,10.0
2019,50%,media_tone,TOR,22.0
2019,50%,fan_attn,TOR,7.0
2019,50%,crowd_all,TOR,13.0
2019,50%,media_buzz,TOR,21.0
2019,50%,fan_buzz,TOR,25.0
2019,50%,crowd_buzz,TOR,26.0
2019,50%,stats_baseline,TOR,4.0
2019,75%,media_attn,TOR,8.0
2019,75%,media_tone,TOR,12.0
2019,75%,fan_attn,TOR,9.0
2019,75%,crowd_all,TOR,10.0
2019,75%,media_buzz,TOR,19.0
2019,75%,fan_buzz,TOR,15.0
2019,75%,crowd_buzz,TOR,15.5
2019,75%,stats_baseline,TOR,6.0
2019,pre-playoffs,media_attn,TOR,6.0
2019,pre-playoffs,media_tone,TOR,13.0
2019,pre-playoffs,fan_attn,TOR,12.0
2019,pre-playoffs,crowd_all,TOR,7.0
2019,pre-playoffs,media_buzz,TOR,20.0
2019,pre-playoffs,fan_buzz,TOR,26.0
2019,pre-playoffs,crowd_buzz,TOR,24.5
2019,pre-playoffs,stats_baseline,TOR,3.0
2020,preseason,media_attn,LAL,2.0
2020,preseason,media_tone,LAL,26.0
2020,preseason,fan_attn,LAL,1.0
2020,preseason,crowd_all,LAL,6.0
2020,preseason,media_buzz,LAL,3.0
2020,preseason,fan_buzz,LAL,11.0
2020,preseason,crowd_buzz,LAL,10.0
2020,preseason,stats_baseline,LAL,20.0
2020,25%,media_attn,LAL,1.0
2020,25%,media_tone,LAL,7.0
2020,25%,fan_attn,LAL,1.0
2020,25%,crowd_all,LAL,1.0
2020,25%,media_buzz,LAL,13.0
2020,25%,fan_buzz,LAL,9.0
2020,25%,crowd_buzz,LAL,7.5
2020,25%,stats_baseline,LAL,4.0
2020,50%,media_attn,LAL,2.0
2020,50%,media_tone,LAL,1.0
2020,50%,fan_attn,LAL,1.0
2020,50%,crowd_all,LAL,1.0
2020,50%,media_buzz,LAL,22.0
2020,50%,fan_buzz,LAL,9.0
2020,50%,crowd_buzz,LAL,6.0
2020,50%,stats_baseline,LAL,2.0
2020,75%,media_attn,LAL,2.0
2020,75%,media_tone,LAL,26.0
2020,75%,fan_attn,LAL,2.0
2020,75%,crowd_all,LAL,5.0
2020,75%,media_buzz,LAL,11.0
2020,75%,fan_buzz,LAL,16.0
2020,75%,crowd_buzz,LAL,18.0
2020,75%,stats_baseline,LAL,2.0
2020,pre-playoffs,media_attn,LAL,1.0
2020,pre-playoffs,media_tone,LAL,13.0
2020,pre-playoffs,fan_attn,LAL,2.0
2020,pre-playoffs,crowd_all,LAL,1.0
2020,pre-playoffs,media_buzz,LAL,20.0
2020,pre-playoffs,fan_buzz,LAL,28.0
2020,pre-playoffs,crowd_buzz,LAL,27.0
2020,pre-playoffs,stats_baseline,LAL,5.0
2021,preseason,media_attn,MIL,2.0
2021,preseason,media_tone,MIL,13.0
2021,preseason,fan_attn,MIL,12.0
2021,preseason,crowd_all,MIL,7.0
2021,preseason,media_buzz,MIL,3.0
2021,preseason,fan_buzz,MIL,3.0
2021,preseason,crowd_buzz,MIL,2.0
2021,preseason,stats_baseline,MIL,1.0
2021,25%,media_attn,MIL,16.0
2021,25%,media_tone,MIL,12.0
2021,25%,fan_attn,MIL,21.0
2021,25%,crowd_all,MIL,18.0
2021,25%,media_buzz,MIL,27.0
2021,25%,fan_buzz,MIL,19.0
2021,25%,crowd_buzz,MIL,21.0
2021,25%,stats_baseline,MIL,2.0
2021,50%,media_attn,MIL,10.0
2021,50%,media_tone,MIL,6.0
2021,50%,fan_attn,MIL,23.0
2021,50%,crowd_all,MIL,12.5
2021,50%,media_buzz,MIL,27.0
2021,50%,fan_buzz,MIL,17.0
2021,50%,crowd_buzz,MIL,16.5
2021,50%,stats_baseline,MIL,3.0
2021,75%,media_attn,MIL,9.0
2021,75%,media_tone,MIL,21.0
2021,75%,fan_attn,MIL,19.0
2021,75%,crowd_all,MIL,16.0
2021,75%,media_buzz,MIL,29.0
2021,75%,fan_buzz,MIL,14.0
2021,75%,crowd_buzz,MIL,27.0
2021,75%,stats_baseline,MIL,4.0
2021,pre-playoffs,media_attn,MIL,10.0
2021,pre-playoffs,media_tone,MIL,12.0
2021,pre-playoffs,fan_attn,MIL,23.0
2021,pre-playoffs,crowd_all,MIL,14.0
2021,pre-playoffs,media_buzz,MIL,28.0
2021,pre-playoffs,fan_buzz,MIL,20.0
2021,pre-playoffs,crowd_buzz,MIL,23.5
2021,pre-playoffs,stats_baseline,MIL,3.0
2022,preseason,media_attn,GSW,3.0
2022,preseason,media_tone,GSW,18.0
2022,preseason,fan_attn,GSW,2.0
2022,preseason,crowd_all,GSW,3.5
2022,preseason,media_buzz,GSW,2.0
2022,preseason,fan_buzz,GSW,9.0
2022,preseason,crowd_buzz,GSW,6.0
2022,preseason,stats_baseline,GSW,14.0
2022,25%,media_attn,GSW,2.0
2022,25%,media_tone,GSW,1.0
2022,25%,fan_attn,GSW,1.0
2022,25%,crowd_all,GSW,1.0
2022,25%,media_buzz,GSW,2.0
2022,25%,fan_buzz,GSW,1.0
2022,25%,crowd_buzz,GSW,1.0
2022,25%,stats_baseline,GSW,1.0
2022,50%,media_attn,GSW,4.0
2022,50%,media_tone,GSW,3.0
2022,50%,fan_attn,GSW,2.0
2022,50%,crowd_all,GSW,1.0
2022,50%,media_buzz,GSW,9.0
2022,50%,fan_buzz,GSW,3.0
2022,50%,crowd_buzz,GSW,2.0
2022,50%,stats_baseline,GSW,1.0
2022,75%,media_attn,GSW,4.0
2022,75%,media_tone,GSW,3.0
2022,75%,fan_attn,GSW,2.0
2022,75%,crowd_all,GSW,1.0
2022,75%,media_buzz,GSW,15.0
2022,75%,fan_buzz,GSW,7.0
2022,75%,crowd_buzz,GSW,4.0
2022,75%,stats_baseline,GSW,2.0
2022,pre-playoffs,media_attn,GSW,5.0
2022,pre-playoffs,media_tone,GSW,24.0
2022,pre-playoffs,fan_attn,GSW,3.0
2022,pre-playoffs,crowd_all,GSW,8.5
2022,pre-playoffs,media_buzz,GSW,19.0
2022,pre-playoffs,fan_buzz,GSW,25.0
2022,pre-playoffs,crowd_buzz,GSW,28.5
2022,pre-playoffs,stats_baseline,GSW,5.0
2023,preseason,media_attn,DEN,13.0
2023,preseason,media_tone,DEN,7.0
2023,preseason,fan_attn,DEN,24.0
2023,preseason,crowd_all,DEN,15.5
2023,preseason,media_buzz,DEN,12.0
2023,preseason,fan_buzz,DEN,11.0
2023,preseason,crowd_buzz,DEN,5.5
2023,preseason,stats_baseline,DEN,10.5
2023,25%,media_attn,DEN,27.0
2023,25%,media_tone,DEN,9.0
2023,25%,fan_attn,DEN,29.0
2023,25%,crowd_all,DEN,26.0
2023,25%,media_buzz,DEN,24.0
2023,25%,fan_buzz,DEN,21.0
2023,25%,crowd_buzz,DEN,19.0
2023,25%,stats_baseline,DEN,7.0
2023,50%,media_attn,DEN,12.0
2023,50%,media_tone,DEN,20.0
2023,50%,fan_attn,DEN,13.0
2023,50%,crowd_all,DEN,13.5
2023,50%,media_buzz,DEN,3.0
2023,50%,fan_buzz,DEN,1.0
