recency,narrative,prestige,bandwagon,anchoring,star_power,polarization,season,checkpoint,team,pdiff,ros
,,20.079095507459243,,-0.0,,2.3018675139135083,2018,preseason,ATL,,0.2926829268292683
,,20.024258639830535,,-0.0,,1.7210157082928867,2018,preseason,BKN,,0.34146341463414637
,,21.500974406555844,,-0.0,,2.7892548170653866,2018,preseason,BOS,,0.6707317073170732
,,20.36149533940565,,-0.0,,2.276047056010415,2018,preseason,CHA,,0.43902439024390244
,,21.463939245117658,,-0.0,,2.0259860020033997,2018,preseason,CHI,,0.32926829268292684
,,22.634844006844517,,-0.0,,2.1156262474260075,2018,preseason,CLE,,0.6097560975609756
,,20.564217410033663,,-0.0,,2.1169444894884655,2018,preseason,DAL,,0.2926829268292683
,,19.475547832578755,,-0.0,,1.990281293109787,2018,preseason,DEN,,0.5609756097560976
,,20.259679092034336,,-0.0,,2.2558169028371404,2018,preseason,DET,,0.47560975609756095
,,23.216423171984186,,-0.0,,2.150632588911657,2018,preseason,GSW,,0.7073170731707317
,,20.61836588054505,,-0.0,,1.6889304291169371,2018,preseason,HOU,,0.7926829268292683
,,19.894648539080222,,-0.0,,1.9660896382551034,2018,preseason,IND,,0.5853658536585366
,,20.708753056345696,,-0.0,,2.0005650585786467,2018,preseason,LAC,,0.5121951219512195
,,21.904629128861778,,-0.0,,1.8240559181316687,2018,preseason,LAL,,0.4268292682926829
,,19.75306405039268,,-0.0,,1.801616588961969,2018,preseason,MEM,,0.2682926829268293
,,21.051749019085,,-0.0,,2.0610985973373332,2018,preseason,MIA,,0.5365853658536586
,,20.260558147504625,,-0.0,,2.089963094362712,2018,preseason,MIL,,0.5365853658536586
,,20.093935238335305,,-0.0,,1.7603887441396207,2018,preseason,MIN,,0.573170731707317
,,19.921632908574054,,-0.0,,1.6156871107013515,2018,preseason,NOP,,0.5853658536585366
,,21.194139676512673,,-0.0,,1.9280647572970349,2018,preseason,NYK,,0.35365853658536583
,,21.183941865611406,,-0.0,,1.8234328660929702,2018,preseason,OKC,,0.5853658536585366
,,19.935773947355948,,-0.0,,2.0137446488693693,2018,preseason,ORL,,0.3048780487804878
,,,,-0.0,,,2018,preseason,PHI,,0.6341463414634146
,,19.691660781776903,,-0.0,,2.5035062360766553,2018,preseason,PHX,,0.25609756097560976
,,19.824829838111672,,-0.0,,1.8145902941131546,2018,preseason,POR,,0.5975609756097561
,,20.324134531549443,,-0.0,,1.897131193380432,2018,preseason,SAC,,0.32926829268292684
,,21.125602053753937,,-0.0,,2.0078080978027866,2018,preseason,SAS,,0.573170731707317
,,20.761206228201168,,-0.0,,1.6459049765103402,2018,preseason,TOR,,0.7195121951219512
,,20.191167203678095,,-0.0,,1.81261839155421,2018,preseason,UTA,,0.5853658536585366
,,19.96330475296267,,-0.0,,2.403060653517748,2018,preseason,WAS,,0.524390243902439
1.9000000000000004,0.4344336676927897,20.086216244087055,0.1724137931034483,-0.1724137931034483,,1.9846891973336804,2018,25%,ATL,-6.0,0.3225806451612903
1.2952380952380953,-0.3364633070828502,20.051090951538193,-0.015517241379310376,-0.015517241379310376,,1.981433013649176,2018,25%,BKN,-3.0952380952380953,0.32786885245901637
-2.7,0.4954306897056413,21.537798687756407,0.0494252873563219,-0.0494252873563219,,1.9738830297379375,2018,25%,BOS,7.0,0.6166666666666667
-0.34999999999999987,-0.16292014635100927,20.360847751635283,-0.053448275862068906,-0.053448275862068906,,1.8443468446510114,2018,25%,CHA,-1.35,0.45161290322580644
-5.342105263157896,0.02750795817583629,21.448090735522385,-0.0683908045977012,-0.0683908045977012,,2.098346617849212,2018,25%,CHI,-12.157894736842104,0.38095238095238093
6.8619047619047615,-0.2358331488211498,22.622943264476504,-0.03275862068965529,-0.03275862068965529,,2.3130168431265474,2018,25%,CLE,2.238095238095238,0.5901639344262295
3.1727272727272724,0.09369917928582383,20.572321540026742,0.08563218390804583,-0.08563218390804583,,1.7889014128217051,2018,25%,DAL,-5.2727272727272725,0.31666666666666665
0.15,-0.1966540038861465,19.489477719535667,-0.11781609195402301,-0.11781609195402301,,1.9007880685052858,2018,25%,DEN,-0.15,0.5645161290322581
-0.19999999999999973,0.3004779438231716,20.29235050084921,0.2718390804597701,-0.2718390804597701,,1.8579732600560717,2018,25%,DET,3.4,0.4032258064516129
-1.2818181818181813,0.4373465991782288,23.188060122826528,-0.017241379310344862,-0.017241379310344862,,2.1717521173684093,2018,25%,GSW,10.181818181818182,0.7
4.59047619047619,0.14144375552798089,20.63257413398896,-0.12011494252873567,-0.12011494252873567,,2.0057466708380467,2018,25%,HOU,10.80952380952381,0.7868852459016393
1.6545454545454548,-0.09298682042420847,19.8926499514093,-0.15517241379310348,-0.15517241379310348,,1.8615310348432388,2018,25%,IND,0.5454545454545454,0.6
-5.284210526315789,-0.20099299252407088,20.708574972711485,0.03735632183908044,-0.03735632183908044,,2.0520263946276405,2018,25%,LAC,-0.3157894736842105,0.5396825396825397
-0.40476190476190466,-0.9934170818726377,21.9154880681905,0.03390804597701158,-0.03390804597701158,,2.0854169153317215,2018,25%,LAL,-2.0952380952380953,0.4426229508196721
-6.1499999999999995,-0.7658528141695776,19.756515406720183,0.033333333333333326,-0.033333333333333326,,2.3066493869799176,2018,25%,MEM,-2.45,0.24193548387096775
-1.5952380952380953,-0.08949460986718505,21.027507784173647,-0.033333333333333215,-0.033333333333333215,,1.923143078449751,2018,25%,MIA,-2.9047619047619047,0.5573770491803278
1.2842105263157895,0.15304361789721221,20.299937212169326,0.3057471264367817,-0.3057471264367817,,1.96868799878611,2018,25%,MIL,-1.6842105263157894,0.5396825396825397
4.254545454545454,0.24865448213421576,20.114977504287026,-0.2879310344827586,-0.2879310344827586,,1.738408685334909,2018,25%,MIN,0.5454545454545454,0.5666666666666667
