herding,games,market_abs_error,surging_side_ats,surging_side_cover
low,2755,10.403448275862068,0.35952813067150635,0.5041742286751362
mid,2755,10.414337568058077,-0.07586206896551724,0.4849364791288566
high,2755,10.32323049001815,-0.022867513611615244,0.4998185117967332
