season,n,spearman
2019,73,0.0892897110486796
2020,70,0.14835237057478673
2021,84,-0.20993104652736114
2022,87,0.0039006963158434373
2023,87,0.39228196765641954
2024,87,0.3207735463641524
2025,87,0.3189811132579932
2026,87,0.2487890463366749
