target,signal,control,coef,p,n,pseudo_r2
rest_of_season_win_pct,media_buzz,pdiff,-0.04123467515904051,0.01145493654933701,941,
rest_of_season_win_pct,fan_buzz,pdiff,-0.039475637733799744,0.0633159850533294,974,
rest_of_season_win_pct,media_attn,pdiff,-0.4244969397548216,0.16282870659665072,941,
rest_of_season_win_pct,fan_attn,pdiff,-0.038883807847667005,0.8644250237099307,974,
rest_of_season_win_pct,media_tone,pdiff,0.006527873892890021,0.6034334331590553,941,
playoff_series,media_buzz,pdiff,-1.054470526584028,0.006233188573086211,151,0.22139806072412438
playoff_series,fan_buzz,pdiff,-0.5870427288139453,0.15236641989404442,151,0.19262692898371514
playoff_series,media_attn,pdiff,4.296137453430001,0.5173157698040709,151,0.18452388729000835
playoff_series,fan_attn,pdiff,6.08409933445095,0.30562171331181065,151,0.18757213653864258
playoff_series,media_tone,pdiff,0.23455155250755186,0.4364078726456917,151,0.18536053295327193
rest_of_season_win_pct,media_buzz,pdiff+recency,-0.040535024838746304,0.012815334161829953,941,
playoff_series,media_buzz,pdiff+recency,-1.051913771988062,0.006452721994199706,151,0.22145060603075384
rest_of_season_win_pct,fan_buzz,pdiff+recency,-0.03958642409976781,0.06585287968659108,974,
playoff_series,fan_buzz,pdiff+recency,-0.5827834620579087,0.15616105076736359,151,0.19294620729377832
rest_of_season_win_pct,media_attn,pdiff+recency,-0.3780558747330147,0.21759321760800543,941,
playoff_series,media_attn,pdiff+recency,4.231867144074147,0.5251482584372882,151,0.18496232551025338
rest_of_season_win_pct,fan_attn,pdiff+recency,-0.009170324735849715,0.9684563473171458,974,
playoff_series,fan_attn,pdiff+recency,5.978237135138508,0.31573545579906404,151,0.1878772606229594
rest_of_season_win_pct,media_tone,pdiff+recency,0.006109930861979384,0.6266506570919594,941,
playoff_series,media_tone,pdiff+recency,0.23959354670666164,0.42751133176215117,151,0.18599529732309028
