recency,narrative,prestige,bandwagon,anchoring,star_power,polarization,season,checkpoint,team,pdiff,ros,crowd_naive,n_personas,crowd_learned
,,-0.6096620443330625,,,,1.0718645820548114,2018,preseason,ATL,,0.2926829268292683,0.23110126886087445,2,
,,-0.6714554794088383,,,,-1.0898110265900702,2018,preseason,BKN,,0.34146341463414637,-0.8806332529994543,2,
,,0.9925954374736343,,,,2.8857063141312307,2018,preseason,BOS,,0.6707317073170732,1.9391508758024325,2,
,,-0.29143716323765556,,,,0.9757721648271134,2018,preseason,CHA,,0.43902439024390244,0.3421675007947289,2,
,,0.950862020836004,,,,0.045154620234247184,2018,preseason,CHI,,0.32926829268292684,0.4980083205351256,2,
,,2.2703069582015796,,,,0.3787562897271254,2018,preseason,CLE,,0.6097560975609756,1.3245316239643525,2,
,,-0.06299790965744444,,,,0.38366220838853077,2018,preseason,DAL,,0.2926829268292683,0.16033214936554316,2,
,,-1.289775363631008,,,,-0.08772264309219108,2018,preseason,DEN,,0.5609756097560976,-0.6887490033615996,2,
,,-0.4061697499746967,,,,0.9004844094123005,2018,preseason,DET,,0.47560975609756095,0.2471573297188019,2,
,,2.9256648576682474,,,,0.5090345359255146,2018,preseason,GSW,,0.7073170731707317,1.717349696796881,2,
,,-0.0019802012855284087,,,,-1.209218360302505,2018,preseason,HOU,,0.7926829268292683,-0.6055992807940167,2,
,,-0.8175078287171033,,,,-0.1777533699076999,2018,preseason,IND,,0.5853658536585366,-0.4976305993124016,2,
,,0.09987342969385939,,,,-0.04945097936669705,2018,preseason,LAC,,0.5121951219512195,0.02521122516358117,2,
,,1.4474575212222636,,,,-0.7063405679243608,2018,preseason,LAL,,0.4268292682926829,0.37055847664895136,2,
,,-0.9770536286101343,,,,-0.7898499072620694,2018,preseason,MEM,,0.2682926829268293,-0.8834517679361018,2,
,,0.486381625207355,,,,0.17582829664381477,2018,preseason,MIA,,0.5365853658536586,0.3311049609255849,2,
,,-0.4051791781298731,,,,0.2832492921056365,2018,preseason,MIL,,0.5365853658536586,-0.0609649430121183,2,
,,-0.5929397553678944,,,,-0.9432818595898126,2018,preseason,MIN,,0.573170731707317,-0.7681108074788535,2,
,,-0.7871002406019703,,,,-1.4817978605865976,2018,preseason,NOP,,0.5853658536585366,-1.134449050594284,2,
